2022-07-01,-5
2022-07-02,-7
2022-07-03,12
2022-07-04,-12
2022-07-05,0
2022-07-06,-4
2022-07-07,-1
2022-07-08,6
2022-07-09,-13
2022-07-10,2
2022-07-11,12
2022-07-12,7
2022-07-13,0
2022-07-14,6
2022-07-15,-13
2022-07-16,23
2022-07-17,-14
2022-07-18,3
2022-07-19,1
2022-07-20,-2
2022-07-21,-10
2022-07-22,-3
2022-07-23,2
2022-07-24,-7
2022-07-25,3
2022-07-26,0
2022-07-27,7
2022-07-28,9
2022-07-29,-12
2022-07-30,2
2022-07-31,-7
2022-08-01,3
2022-08-02,0
2022-08-03,1
2022-08-04,17
2022-08-05,-11
2022-08-06,17
2022-08-07,-6
2022-08-08,-2
2022-08-09,4
2022-08-10,-10
2022-08-11,-4
2022-08-12,-1
2022-08-13,-4
2022-08-14,4
2022-08-15,-10
2022-08-16,16
2022-08-17,12
2022-08-18,-34
2022-08-19,-1
2022-08-20,0
2022-08-21,6
2022-08-22,4
2022-08-23,5
2022-08-24,4
2022-08-25,-10
2022-08-26,-2
2022-08-27,-4
2022-08-28,14
2022-08-29,-11
2022-08-30,0
2022-08-31,1
2022-09-01,-1
2022-09-02,29
2022-09-03,-31
2022-09-04,-10
2022-09-05,17
2022-09-06,7
2022-09-07,6
2022-09-08,-12
2022-09-09,9
2022-09-10,-22
2022-09-11,1
2022-09-12,7
2022-09-13,-1
2022-09-14,4
2022-09-15,0
2022-09-16,0
2022-09-17,-10
2022-09-18,-5
2022-09-19,37
2022-09-20,-4
2022-09-21,-8
2022-09-22,-7
2022-09-23,-6
2022-09-24,-7
2022-09-25,13
2022-09-26,1
2022-09-27,-4
2022-09-28,-9
2022-09-29,27
2022-09-30,8
2022-10-01,-15
2022-10-02,-14
2022-10-03,-8
2022-10-04,-2
2022-10-05,19
2022-10-06,17
2022-10-07,-16
2022-10-08,-12
2022-10-09,-5
2022-10-10,26
2022-10-11,8
2022-10-12,-17
2022-10-13,1
2022-10-14,-7
2022-10-15,5
2022-10-16,4
2022-10-17,-17
2022-10-18,5
2022-10-19,14
2022-10-20,17
2022-10-21,-9
2022-10-22,-9
2022-10-23,-10
2022-10-24,-19
2022-10-25,1
2022-10-26,19
2022-10-27,-3
2022-10-28,-10
2022-10-29,24
2022-10-30,0
2022-10-31,0
2022-11-01,-21
2022-11-02,-8
2022-11-03,-4
2022-11-04,-5
2022-11-05,9
2022-11-06,0
2022-11-07,-5
2022-11-08,7
2022-11-09,-4
2022-11-10,12
2022-11-11,6
2022-11-12,15
2022-11-13,10
2022-11-14,-25
2022-11-15,-13
2022-11-16,0
2022-11-17,-6
2022-11-18,-2
2022-11-19,5
2022-11-20,8
2022-11-21,35
2022-11-22,-12
2022-11-23,-22
2022-11-24,-7
2022-11-25,-11
2022-11-26,9
2022-11-27,7
2022-11-28,4
2022-11-29,-5
2022-11-30,2
2022-12-01,10
2022-12-02,7
2022-12-03,1
2022-12-04,-9
2022-12-05,-4
2022-12-06,-3
2022-12-07,-5
2022-12-08,8
2022-12-09,3
2022-12-10,5
2022-12-11,0
2022-12-12,15
2022-12-13,-31
2022-12-14,-9
2022-12-15,10
2022-12-16,-9
2022-12-17,1
2022-12-18,2
2022-12-19,14
2022-12-20,-5
2022-12-21,-8
2022-12-22,3
2022-12-23,3
2022-12-24,-6
2022-12-25,14
2022-12-26,0
2022-12-27,17
2022-12-28,-17
2022-12-29,-18
2022-12-30,-2
2022-12-31,4
